pb1Hold,pb1high,pb1low,pb1mid,pb1neg,s1Zscore,profit
9.416903097580853,19.298866306117752,-5.3544334613354705,5.851530231304895,5.624751071633966,0.9490195747552548,179576
14.28451982786001,23.27254961371719,-5.773909322758812,3.768438698134769,10.852235000674291,0.8948001535386575,179576
41.8276296964529,8.154673450859107,-5.203979524304032,35.751637704901825,10.83684480634843,1.7872450746564206,179576
16.217420677845357,32.94105778140196,-5.9844070670507605,39.1274227570506,8.017545207429471,2.3517049780257078,179576
14.32706260641422,24.04249716219142,-9.389995001219011,2.4565793612193625,1.9526285936425722,0.9324670714575942,179548
16.367067189106237,22.191131431215982,-9.907646021359636,8.736624443385121,8.80853483643888,0.9253064991440559,179548
6.762605285650741,22.01289836309746,-9.926456153793023,6.144102110892101,8.989926027297685,0.12602004300549283,179548
17.653108544281732,16.696265977020083,-9.039395767342487,4.947170378901563,1.9397624506344613,1.8287821514233829,179548
15.538950968824828,21.190151830191947,-9.503047825969901,1.0426347078861253,8.880372410721513,0.08851904930524637,179548
38.6960503533708,3.8116272984958792,-9.009194163923233,37.23804277953386,7.951621586858558,0.3394387050037069,179548
