greed,selloffAggro,selloffThreshold,undercut,zscoreThresh,profit
1.503063986444467,0.6325518733390559,0.010890877542553034,1.6211220036042144,1.628908917955041,125625
1.1743950588729302,0.41951587176532235,0.021347300543403846,1.3228272473702112,1.533438215647588,123306
1.7687664038208573,0.5189197369388904,0.0024485720477476513,1.6794931559448125,1.7246298330961818,122996
1.6091018050808235,0.3145859052974969,0.049715736048881784,1.5859308493733772,0.8759564259161362,122550
1.8262699295153082,0.3768112049240712,0.0726197405517878,1.66514182719451,0.7955991803505074,122106
1.2909562340251723,0.33198608255647577,0.024669005071169484,1.6012299423632965,1.6358601100632253,121232
1.5174370580778074,0.2669178731713784,0.005752135364491698,1.4277323588554234,1.7338842398541274,120000
1.2048130548262441,0.2490118979939221,0.010381165193499482,1.5616046387219873,1.9505555372895387,117730
1.3262083529440898,0.20239205462093102,0.11143441909180633,1.4893785896771703,0.8772428716186147,117705
1.3355991142557568,0.26080263286429484,0.033016502087948325,1.5631819152656967,0.9039092397953119,117417
