PBWindow,PBtolerance,profit
25.53409822200287,9.994632202855877,151281
24.493798676535494,9.920735441000755,150912
25.138189713878493,9.934301146106401,150216
21.29155181618993,9.994770788921755,149616
24.789748207833764,9.994856329027916,149546
43.7419024816228,0.12687507127192688,149452
48.59813758868182,0.03246484390853288,149016
16.864933471399752,9.979959401406775,147887
46.08789896465039,0.09217376483003692,147539
45.43698079116088,0.04490485822663204,147417
48.216975616025,0.010051754700155513,147268
21.632388816965143,9.975803472381568,146766
18.49784219529084,9.982814885515175,146680
18.377984453583167,9.962853202264084,146667
17.592807434098535,9.991575826301165,146546
19.970305107228793,9.986644817375632,146532
19.55698052311158,9.998949588187262,146504
16.106507550411514,9.992778581066522,146351
44.793573936676616,0.009438781461185153,146157
44.2223028385991,0.01883704224809879,146157
